duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,classification.,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,service_IRC,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_OTH,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH
-0.11024922,-0.0077547454,-0.0049077025,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,0,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.035871287,1.6281574,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,-0.33607292,0.73434256,1.2587543,1.0664013,-0.43907817,-0.44783396,-0.2891034,-0.63953191,-0.6248708,-0.38763462,-0.37638703,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.11024922,-0.0077203349,-0.003986348,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,1,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.68211348,-0.27173867,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,1.087938,-1.6848704,1.2587543,1.0664013,-0.43907817,-0.25365663,0.33276859,-0.48215154,-0.6248708,-0.38763462,0.93833929,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.11024922,-0.0077622407,-0.0049186444,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,0,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,1.4400062,-0.27173867,1.6026639,1.6051037,-0.37436224,-0.3744316,-1.4351623,-0.016929598,-0.3745597,0.73434256,-0.93632204,-1.0496586,-0.06855302,-0.48019685,-0.2891034,1.6087591,1.6189552,-0.38763462,-0.37638703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11024922,-0.0077620704,-0.0049186444,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,0,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.70831249,-0.34057549,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,-0.3745597,0.73434256,-1.0176212,-1.1387559,0.7783616,2.756092,-0.2891034,-0.63953191,-0.6248708,-0.38763462,-0.37638703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.11024922,-0.007760878,-0.0049186444,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,0,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.72577849,-0.092762954,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,3.4741185,-1.8259911,-0.76469056,1.0664013,-0.43907817,2.756092,4.3305171,-0.63953191,-0.6248708,-0.38763462,-0.37638703,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.11024922,-0.0077015966,-0.0046990611,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,1,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.63844847,0.32025794,-0.43562068,-0.58718838,-0.37436224,-0.3744316,0.77128311,-0.34968303,-0.06666545,-1.7251906,1.2587543,1.0664013,-0.43907817,-0.18893085,0.066252025,-0.43718572,-0.6248708,-0.38763462,-0.37638703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.11024922,-0.0075114873,-0.0048229031,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,1,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.72577849,-0.35434285,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,3.4741185,0.73434256,0.030234195,-0.11413737,-0.33321384,-0.48019685,-0.2891034,0.10240412,0.18290656,-0.35501418,-0.37638703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.10794552,-0.0077491239,-0.0049081999,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,0,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.70831249,-0.32680812,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,1.5497794,0.73434256,1.2316546,1.044127,-0.386146,-0.38310818,-0.2891034,-0.63953191,-0.6248708,-0.38763462,-0.37638703,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.11024922,-0.0077443541,-0.0048820886,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,0,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.72577849,-0.36811021,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,-0.3745597,0.73434256,1.0238901,0.84365819,-0.386146,-0.44783396,-0.2891034,-0.63953191,-0.6248708,-0.38763462,-0.37638703,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.10218627,-0.0077435024,-0.0039430779,0,-0.089486422,-0.007735985,-0.095075672,-0.027022818,1,-0.011663643,0,0,-0.01238515,-0.026180024,-0.018609896,-0.041221198,0,0,0,-0.72577849,-0.36811021,-0.63720927,-0.63192903,-0.37436224,-0.3744316,0.77128311,-0.34968303,-0.3745597,-0.90870622,-1.0266544,-1.1387559,-0.06855302,-0.44783396,8.5947822,-0.63953191,-0.6248708,-0.38763462,-0.37638703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
